Year,Forecast,Lower_95,Upper_95
2025,5.172657650401922,4.131272226446049,7.151232344391122
2026,4.7371666825980085,3.1023104726626327,7.032913323513307
2027,5.075340627563343,2.6867717567249585,8.196100996355485
2028,4.819021479568756,1.8683745834493326,8.519920314896053
2029,4.982128333298079,1.4070990175800264,9.198061329026087
