Model,MAE,RMSE,R2,MAPE,CV_RMSE_Mean,CV_RMSE_Std
SVR,0.7528003438357278,0.8285215897080904,0.4242868093933304,16.240985836563066,-2.7762089388652464,1.2405870366058762
Random Forest,0.8061087797619061,0.9889098755078591,0.17981476241480765,17.679662947210804,-2.33881917207919,1.3442936437627417
Gradient Boosting,0.8549463324067436,1.0649704113699427,0.04879614029639967,19.764853863992066,-2.550868275833551,1.5147293904523353
XGBoost,1.150000512599945,1.2509270968063644,-0.3123888153264518,25.845392430797425,-2.5108371850874187,1.1989144798788598
Neural Network,2.124213712072886,2.3092236400356208,-3.472295694676439,47.96389924142163,,
Stacking,2.083002083333337,2.7389722389482505,-5.291783661992769,51.408345071274965,,
